CustomerID,NumberOfOrders,TotalSpent,Segment
12346.0,2,0.0,
12347.0,7,4310.0,Medium Value
12348.0,4,1797.24,Medium Value
12349.0,1,1757.55,Medium Value
12350.0,1,334.4,Low Value
12352.0,11,1545.41,Medium Value
12353.0,1,89.0,Low Value
12354.0,1,1079.4,Medium Value
12355.0,1,459.4,Low Value
12356.0,3,2811.43,Medium Value
12357.0,1,6207.67,High Value
12358.0,2,1168.06,Medium Value
12359.0,6,6245.53,High Value
12360.0,3,2662.06,Medium Value
12361.0,1,189.9,Low Value
12362.0,13,5154.58,High Value
12363.0,2,552.0,Low Value
12364.0,4,1313.1,Medium Value
12365.0,3,320.69,Low Value
12367.0,1,168.9,Low Value
12370.0,4,3545.69,Medium Value
12371.0,2,1887.96,Medium Value
12372.0,3,1298.04,Medium Value
12373.0,1,364.6,Low Value
12374.0,1,742.9300000000001,Low Value
12375.0,3,455.42,Low Value
12377.0,2,1628.12,Medium Value
12378.0,1,4008.62,Medium Value
12379.0,3,850.29,Low Value
12380.0,5,2720.56,Medium Value
12381.0,6,1803.96,Medium Value
12383.0,6,1839.31,Medium Value
12384.0,3,566.16,Low Value
12386.0,2,401.9,Low Value
12388.0,6,2780.66,Medium Value
12390.0,1,549.84,Low Value
12391.0,1,460.89,Low Value
12393.0,4,1582.6000000000001,Medium Value
12394.0,2,1272.48,Medium Value
12395.0,15,2998.28,Medium Value
12397.0,2,2409.9,Medium Value
12398.0,1,1635.6599999999999,Medium Value
12399.0,4,1108.65,Medium Value
12401.0,1,84.3,Low Value
12402.0,1,225.6,Low Value
12403.0,2,409.7,Low Value
12405.0,1,1710.39,Medium Value
12406.0,3,3280.75,Medium Value
12407.0,5,1708.1200000000001,Medium Value
12408.0,9,2842.57,Medium Value
12409.0,7,11056.93,High Value
12410.0,3,681.0799999999999,Low Value
12412.0,3,1226.88,Medium Value
12413.0,5,694.15,Low Value
12414.0,3,562.41,Low Value
12415.0,26,123725.45,High Value
12417.0,12,3578.8,Medium Value
12418.0,1,668.58,Low Value
12420.0,1,600.39,Low Value
12421.0,5,806.27,Low Value
12422.0,3,803.5600000000001,Low Value
12423.0,9,1849.11,Medium Value
12424.0,2,1760.96,Medium Value
12425.0,1,777.2,Low Value
12426.0,1,582.73,Low Value
12427.0,5,708.37,Low Value
12428.0,12,7877.2,High Value
12429.0,4,3750.4,Medium Value
12430.0,1,256.4,Low Value
12431.0,18,6416.39,High Value
12432.0,5,5059.32,High Value
12433.0,7,13375.87,High Value
12434.0,4,765.19,Low Value
12435.0,2,7829.89,High Value
12436.0,1,509.01,Low Value
12437.0,19,4896.66,Medium Value
12438.0,2,2906.85,Medium Value
12441.0,1,173.55,Low Value
12442.0,1,172.06,Low Value
12444.0,5,5005.46,High Value
12445.0,1,133.4,Low Value
12446.0,1,1002.3100000000001,Medium Value
12447.0,1,476.49,Low Value
12448.0,1,449.45,Low Value
12449.0,4,4067.29,Medium Value
12450.0,2,197.88,Low Value
12451.0,6,8933.52,High Value
12452.0,3,428.57,Low Value
12453.0,1,707.09,Low Value
12454.0,2,5.684341886080802e-14,Low Value
